server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
826.4151046276093,844.7538576126099,799.0400221347809;811.2325558662415;823.356169462204,835.7380578517914,802.0458183288574;814.159502029419;826.360461473465,835.7392838001251,823.0664293766022,844.7525503635406,814.0516154766083;823.1810274124146,838.7403764724731,799.0202929973602;811.1672441959381;823.3431494235992,832.6793098449707
893.5790550708771,914.8626103401184,857.0319037437439;869.2329914569855;881.3763468265533;893.4905457496643,902.8369469642639,857.0556614398956;875.2600681781769;887.3922898769379,905.7855689525604,884.1576919555664,914.8614580631256,854.0701777935028;869.2578706741333;878.4170582294464;890.5968310832977,899.7725076675415,857.1188831329346;869.3117887973785;878.4946868419647;890.6283710002899,902.8429412841797
957.7779371738434,976.0582592487335,930.3332159519196;939.5076732635498;951.6350872516632,967.0020904541016,930.3014690876007;948.4868974685669,964.0387558937073,948.2545483112335,976.0571331977844,933.2253496646881;945.3316962718964;957.4479393959045,970.0443167686462,924.3122701644897;936.4675526618958;945.6014995574951;957.7169661521912,966.9701330661774
1018.9802770614624,1037.1998546123505,988.5488376617432;1000.7763431072235;1015.910679101944,1028.1841688156128,991.3662407398224;1003.4821085929871;1015.5774178504944,1028.2759413719177,1012.5250146389008,1037.1986994743347,985.4795150756836;997.6668825149536;1009.79358959198;1018.9257645606995,1028.2534511089325,988.528520822525;1000.6793179512024;1012.7936127185822,1025.2593603134155
1089.222413301468,1113.4495029449463,1049.6180384159088;1064.7821888923645;1076.9487223625183;1086.1131217479706,1104.4955880641937,1049.4884188175201;1064.6612753868103;1079.7876420021057,1101.4893431663513,1079.5181684494019,1113.4483592510223,1049.513469696045;1061.6702494621277;1073.8059220314026;1085.9235527515411,1098.4314370155334,1049.6328675746918;1064.8584613800049;1077.023122549057;1089.152883052826,1101.4900965690613
1165.4626076221466,1180.8111119270325,1125.8468878269196;1138.018490076065;1153.2187824249268;1165.3894832134247,1174.7939109802246,1125.7812240123749;1140.995296239853;1153.2533009052277;1165.4071578979492,1174.6459419727325,1158.8386602401733,1180.8099188804626,1125.8644773960114;1138.0593028068542;1150.2044098377228;1162.340705871582,1174.6448962688446,1122.8016669750214;1134.946222782135;1153.1705026626587;1162.3257830142975,1177.8013508319855
1232.5848932266235,1250.7950901985168,1193.0573732852936;1205.2227795124054;1214.3827776908875;1232.5334644317627,1244.8695101737976,1193.081327676773;1208.291526556015;1220.4464542865753,1241.86629652977,1217.1709232330322,1250.7943511009216,1193.1351099014282;1211.3837175369263;1220.545828819275,1241.8622665405273,1193.199392080307;1205.3362181186676;1217.4811387062073,1244.871494293213
1290.4544632434845,1311.7509682178497,1266.1114432811737;1275.2539293766022;1287.3644428253174,1299.7371380329132,1260.1138150691986;1272.3123247623444;1284.4469397068024,1299.7264704704285,1284.1010067462921,1311.7498059272766,1260.0829589366913;1272.2494661808014;1287.407609462738,1299.729837179184,1269.129026889801;1278.2705161571503;1290.4022674560547,1299.733554840088
1357.7278385162354,1372.9149081707,1324.1298289299011;1339.3155541419983;1351.4086291790009,1366.9502704143524,1324.2894105911255;1339.4886538982391;1351.5894286632538,1366.9556074142456,1351.1952757835388,1372.913789510727,1324.212354183197;1333.363478422165;1345.5406346321106;1357.6793522834778,1363.941487312317,1324.2369458675385;1336.4026873111725;1345.5164334774017;1357.6646625995636,1366.9444789886475
1415.8116466999054,1437.1137328147888,1385.255436182022;1397.4551978111267;1412.5867037773132,1425.0443258285522,1385.3205258846283;1400.4774494171143;1412.7285332679749,1425.1008698940277,1409.1828541755676,1437.1126220226288,1385.2374851703644;1403.405795097351;1415.535395860672,1422.095189332962,1382.2328038215637;1394.379450559616;1403.5030374526978;1415.7529518604279,1425.0491392612457
1482.8573863506317,1504.0894403457642,1449.469699382782;1461.659576177597;1473.8261497020721,1492.0769760608673,1452.4082717895508;1464.5416178703308;1482.703033208847,1492.1444766521454,1470.5398602485657,1504.0880041122437,1449.45631814003;1461.6431121826172;1482.8048775196075,1492.1318006515503,1446.3556904792786;1458.5139799118042;1470.6485679149628,1492.1432917118073
1546.9369475841522,1565.27117395401,1522.5017008781433;1534.6789152622223;1546.8579847812653,1556.2575044631958,1522.5404150485992;1534.7524046897888;1546.8865263462067,1553.2489581108093,1537.5396301746368,1565.2698707580566,1513.423945903778;1525.5415802001953;1537.6493005752563,1553.2509415149689,1516.3512330055237;1528.5245130062103;1537.6334493160248,1556.1784818172455
1608.1080617904663,1629.3792624473572,1577.6839385032654;1589.8926560878754;1602.028020143509,1617.3551638126373,1577.6004972457886;1592.765816450119;1604.8713474273682,1617.2935810089111,1601.6401438713074,1629.3780636787415,1577.640457391739;1589.8160252571106;1602.0001561641693,1617.3223760128021,1574.5771970748901;1586.7239005565643;1595.9125249385834;1608.055902004242,1617.3607289791107
1675.3754913806915,1693.6529433727264,1641.845027923584;1653.992118358612;1666.1521701812744,1687.5708713531494,1644.8653390407562;1656.9801979064941;1669.1018452644348,1681.5720705986023,1665.852552652359,1693.6516847610474,1638.8463625907898;1650.9881858825684;1663.1376996040344;1675.2973997592926,1681.628940820694,1641.9098958969116;1654.0612092018127;1663.1944720745087;1675.3187546730042,1681.6340596675873
1739.5929145812988,1757.8523228168488,1709.1269974708557;1721.3867025375366;1733.5149943828583,1748.836003780365,1706.1492421627045;1718.319902896881;1733.4811668395996,1748.8420178890228,1730.1534135341644,1757.8511672019958,1706.1221976280212;1718.2676072120667;1727.4169702529907;1739.5280413627625,1748.7847979068756,1706.0244286060333;1718.128410100937;1727.268082857132;1739.3814318180084,1748.8458728790283
1803.8348042964935,1822.032543182373,1770.2156393527985;1785.4196989536285;1797.5129551887512,1813.1088349819183,1770.3316702842712;1782.5335311889648;1797.6560113430023,1813.1063914299011,1794.2089483737946,1822.0314254760742,1767.1771426200867;1785.3607239723206;1794.485140800476,1816.1115038394928,1770.2418234348297;1782.4637489318848;1791.6260132789612;1803.7776317596436,1813.0189836025238
1867.8349454402924,1883.071460723877,1834.241027355194;1849.3965830802917;1861.5082294940948,1876.9959993362427,1834.360113620758;1849.6485068798065;1861.7858386039734,1877.0723118782043,1858.2707977294922,1883.070240497589,1834.3462114334106;1843.4958431720734;1855.641589164734;1867.780573129654,1880.0373210906982,1831.3002457618713;1843.468671321869;1852.6233978271484;1864.7463006973267,1877.0673854351044
1931.9074511528015,1947.2095425128937,1895.391825914383;1910.603459596634;1925.7537977695465,1941.198614358902,1895.3625071048737;1907.5110461711884;1919.6314198970795;1928.7789266109467,1941.197329044342,1922.419314622879,1947.208364725113,1895.4469883441925;1907.5956609249115;1919.7313556671143;1931.854161977768,1938.1967623233795,1892.3490822315216;1904.4743993282318;1916.603858947754;1928.7330293655396,1938.115647315979
1996.1226780414581,2017.4473536014557,1956.6408841609955;1968.808021068573;1980.9435002803802;1993.0756752490997,2005.4243342876434,1962.6590433120728;1977.7777893543243;1989.9000387191772,2008.4398047924042,1986.6767239570618,2017.4465699195862,1959.6956810951233;1971.8409538269043;1983.9606306552887;1996.0700805187225,2005.4283609390259,1959.639190196991;1968.8219528198242;1980.9923903942108;1993.103951215744,2002.4287793636322
2063.232883453369,2081.434430837631,2032.7597815990448;2044.8650500774384;2056.958651304245,2072.612032175064,2032.6574323177338;2044.7761244773865;2059.8851392269135,2072.4348151683807,2053.7698900699615,2081.4332950115204,2029.729845046997;2041.8809542655945;2057.045590877533,2075.6170699596405,2029.753980398178;2041.940883398056;2051.040811777115;2063.171056985855,2072.42263174057
2130.140516281128,2148.393657684326,2096.791743516922;2108.88995718956;2129.986799478531,2139.3181467056274,2093.708505153656;2105.856402158737;2117.9855172634125;2130.086856842041,2139.3853645324707,2120.8208491802216,2148.3925082683563,2093.820550918579;2102.9603378772736;2115.0983023643494;2127.21200466156,2136.3132784366608,2093.785976409912;2105.941953420639;2115.0312974452972;2127.133583545685,2139.3790757656097
2197.0756068229675,2215.479386329651,2163.6626756191254;2178.748609304428;2187.8657319545746,2206.465620279312,2163.7783386707306;2175.8917965888977;2197.0217323303223,2206.4600262641907,2181.7668311595917,2215.478655099869,2160.736673593521;2172.8735859394073;2181.998111963272,2206.37708234787,2157.644693136215;2169.7704508304596;2178.8882756233215;2190.986512184143,2206.4536163806915
