server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
664.8757128715515,674.155752658844,649.8368244171143,674.1545853614807,649.7397367954254;661.9091193675995,671.1390273571014,649.7009677886963;661.8658521175385,674.1441223621368,649.6269042491913;664.8071188926697,674.091139793396,649.7807574272156;658.9387149810791,674.0855648517609
701.6977565288544,710.9455780982971,686.5880916118622;698.745306968689,710.9392714500427,689.5085310935974;701.6430101394653,710.900149345398,686.5675518512726;698.7097866535187,710.9291636943817,689.5335841178894,710.944418668747,686.4873456954956;695.6579871177673,710.905374288559
738.5126087665558,747.8483867645264,723.3405158519745;735.4683620929718,747.7724006175995,726.3443183898926,747.8472340106964,723.2130079269409;732.4353659152985,747.8374285697937,726.3197584152222;738.4626929759979,747.8221001625061,723.2374882698059;735.4477653503418,744.8308582305908
772.6024565696716,781.8853275775909,760.399108171463;772.5485429763794,778.8779497146606,760.2925350666046;772.5055885314941,781.8784914016724,760.3589539527893;772.5363066196442,781.8160893917084,763.3022725582123,781.8814496994019,760.2455506324768;772.4409074783325,781.8844571113586
806.5141046047211,815.7478334903717,797.2201263904572,812.743891954422,797.1366519927979;806.2706170082092,815.714013338089,794.249308347702;806.4593105316162,812.7044150829315,794.1816980838776;806.3572309017181,815.708783864975,794.2683184146881;803.4714014530182,815.7469222545624
843.1459894180298,852.4391634464264,830.9991302490234;843.0839178562164,852.4257428646088,828.0738158226013;840.2472629547119,852.3356320858002,831.0830006599426,849.4211535453796,827.9725284576416;840.2259550094604,852.4379789829254,828.046868801117;837.2147645950317,852.4318764209747
877.0960607528687,889.3921489715576,864.9022152423859;877.0440626144409,886.3908240795135,867.743458032608,886.3900671005249,864.7792809009552;876.9304494857788,889.3909409046173,864.8229157924652;877.002857208252,886.3251202106476,864.8614611625671;877.0209801197052,886.3117136955261
916.8875472545624,926.1701245307922,901.7402715682983;913.8824586868286,926.1296882629395,904.7908337116241,926.1644597053528,904.6818509101868;916.8153398036957,926.1353526115417,904.6968867778778;916.8314318656921,926.1240394115448,901.7573134899139;910.9079256057739,926.1689500808716
953.7366371154785,962.9852201938629,938.5025134086609;950.6184284687042,962.9191806316376,938.4214577674866;953.6823489665985,962.9786350727081,938.5186204910278;950.6459963321686,959.9140951633453,941.4134140014648,962.9840426445007,935.4221823215485;947.562103509903,959.970618724823
990.6550517082214,999.9174690246582,975.343442440033;987.5509359836578,996.9097278118134,978.4419713020325,999.916740655899,978.3331987857819;990.5842497348785,999.862268447876,978.3935284614563;990.6034276485443,999.8633654117584,975.314088344574;987.5509326457977,996.908620595932
1024.549064874649,1033.7733290195465,1015.1582863330841;1024.4777710437775,1033.7725732326508,1015.3562920093536,1033.7221584320068,1015.2247543334961;1024.4809548854828,1033.7155275344849,1012.2610394954681;1021.4482383728027,1033.7700567245483,1012.2340352535248;1021.4482345581055,1033.7713282108307
1061.3599064350128,1070.6299948692322,1049.1603960990906;1061.309080839157,1070.6288454532623,1049.0667607784271;1061.2675297260284,1070.623925447464,1049.2110307216644,1070.5610809326172,1049.1004457473755;1058.2762143611908,1070.6189050674438,1046.075166940689;1055.2360429763794,1070.5665545463562
1098.2475345134735,1107.5762176513672,1083.1215739250183,1107.5754823684692,1083.0821151733398;1095.2131867408752,1107.574678182602,1083.061978816986;1098.1953902244568,1107.5726370811462,1082.9897916316986;1095.15012216568,1107.573741197586,1079.858547449112;1092.1032447814941,1104.5236320495605
1135.1539182662964,1144.4737486839294,1122.958387374878,1144.414318561554,1122.9409005641937;1132.0445046424866,1144.467283964157,1122.8604896068573;1135.099354982376,1141.4626138210297,1119.8115272521973;1135.102941274643,1144.4090044498444,1119.9123497009277;1129.040117740631,1144.472629070282
