server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1226.2436354160309,1235.5179080963135,1213.9505319595337;1226.1743369102478,1235.516765832901,1213.9655301570892;1226.128518819809,1235.5112807750702,1217.1649181842804,1235.475400686264,1214.1488151550293,1235.4865982532501,1211.1147606372833;1226.1901123523712,1235.481021642685
1260.1087439060211,1269.3564081192017,1247.7402517795563;1260.0286111831665,1269.2879846096039,1247.7866158485413;1260.0545604228973,1269.3552386760712,1247.8329265117645,1269.3164706230164,1250.805365562439,1269.3505282402039,1247.727825641632;1260.040177822113,1269.3445603847504
1293.987428188324,1303.252413034439,1281.712569952011,1303.246018409729,1281.6399307250977;1290.9360401630402,1303.2512602806091,1281.7125730514526,1303.185512304306,1281.6635737419128;1293.9172296524048,1303.2402746677399,1278.5955188274384;1293.9302258491516,1300.1923913955688
1330.8015654087067,1343.0646114349365,1318.4750611782074;1330.7438158988953,1337.054018497467,1315.466554403305;1330.750256538391,1340.0566942691803,1318.6020829677582,1340.057570695877,1318.6291754245758,1340.0549318790436,1315.5445477962494;1327.7116322517395,1343.0634064674377
1367.7192146778107,1376.9704954624176,1358.3801176548004,1373.8969116210938,1355.3765184879303;1367.6459426879883,1376.9692642688751,1355.3530304431915;1367.6496970653534,1376.9054806232452,1355.4219932556152,1376.95947098732,1355.324360370636;1367.607046842575,1376.9650695323944
1404.5638844966888,1413.816389799118,1389.3294143676758,1413.8152077198029,1389.3294117450714,1413.8034446239471,1389.2464444637299;1404.5083136558533,1413.8096182346344,1389.2964158058167;1401.4833602905273,1413.7413012981415,1389.2501583099365;1401.495355129242,1410.732057094574
1438.5560607910156,1447.804468870163,1426.180577993393;1438.473290681839,1447.7553811073303,1426.233256816864;1438.4545640945435,1447.7929329872131,1429.1751806735992,1447.8032829761505,1426.180582523346;1438.4352869987488,1447.7988729476929,1426.267100095749,1447.7604627609253
1472.6787045001984,1484.9301981925964,1460.261482477188;1472.622477531433,1484.9290735721588,1463.0925846099854,1484.9242482185364,1460.2526960372925;1472.6190490722656,1484.8858749866486,1463.0788366794586,1484.8843441009521,1457.2548928260803;1472.6136600971222,1481.881907939911
1509.634816646576,1518.8860020637512,1500.2383124828339,1518.8800058364868,1500.358333349228,1518.830696105957,1497.3185925483704;1509.5789623260498,1518.8181767463684,1497.3285682201385;1509.5196976661682,1518.8848173618317,1497.2334442138672;1506.5554475784302,1518.8741374015808
1543.5005815029144,1552.7438125610352,1531.1672852039337;1543.4197545051575,1552.742689371109,1531.1290700435638;1543.4305663108826,1552.737224817276,1531.1802468299866;1543.3992042541504,1552.7309622764587,1534.2116827964783,1549.7769379615784,1531.2105123996735,1549.7655401229858
1577.3975458145142,1595.592606306076,1565.0834953784943;1577.344740152359,1586.652359008789,1568.115817785263,1583.5731401443481,1565.0961079597473;1574.3214378356934,1595.5914416313171,1565.1330649852753,1586.6566107273102,1565.0834996700287;1577.3136825561523,1586.6469383239746
1620.2295227050781,1632.488204717636,1607.9215030670166;1617.1844336986542,1629.5379076004028,1607.9845592975616,1632.4870488643646,1610.8504118919373,1629.5395526885986,1607.9535908699036;1620.175061225891,1626.53879570961,1607.8657619953156;1620.1477904319763,1629.4777421951294
1660.280377149582,1669.5737266540527,1644.7580075263977;1657.017525434494,1669.5725662708282,1647.9163241386414,1669.56782746315,1644.824939250946;1660.228441476822,1669.5577425956726,1647.9129288196564,1666.5485937595367,1644.7856423854828;1654.218321800232,1669.5625507831573
1697.302880525589,1706.6127016544342,1681.8877174854279;1697.1992664337158,1706.6060168743134,1681.9509944915771;1697.2353718280792,1703.5878522396088,1681.8911323547363;1694.2208251953125,1706.5751838684082,1681.998416185379,1706.6115186214447,1681.9984130859375,1706.601292848587
1734.223989725113,1743.4715101718903,1721.9453103542328,1743.413815498352,1721.9930205345154,1743.4699239730835,1721.887416601181;1734.142080783844,1740.468854188919,1721.8677959442139;1734.122218132019,1743.4707188606262,1718.9380404949188;1734.1574821472168,1740.4344725608826
1783.4347395896912,1792.6934876441956,1755.8788425922394;1768.0958471298218,1792.6853897571564,1776.873412847519,1792.6833229064941,1755.916656255722;1777.312480211258,1792.692317724228,1755.7601418495178;1765.1076891422272;1780.3528170585632,1789.620587348938,1755.839453458786;1765.0937945842743;1783.3782002925873,1792.6262066364288
1817.2990097999573,1826.5975487232208,1805.0392723083496,1826.596351146698,1804.975825548172;1817.2156076431274,1826.5911495685577,1804.9090509414673;1817.1808314323425,1823.583880662918,1807.922268629074,1826.5339665412903,1805.0066452026367;1817.2193081378937,1823.5255479812622
1851.2544741630554,1860.499212026596,1839.0181457996368,1860.434686422348,1838.982366323471;1851.1569414138794,1860.4399378299713,1838.940453529358;1851.1875138282776,1860.4980509281158,1841.9687104225159,1860.492151260376,1838.844715833664;1851.1975395679474,1857.4866139888763
1888.089026927948,1897.4174575805664,1872.7872431278229;1885.015038728714,1894.352140903473,1872.8425233364105,1897.416676044464,1872.767210483551;1888.036655664444,1894.4120314121246,1872.8425199985504,1897.4157814979553,1872.7548973560333;1881.9869103431702,1897.358612537384
1922.11092877388,1931.3906543254852,1912.6996488571167,1931.3873183727264,1909.6568562984467;1921.9600422382355,1931.3783288002014,1909.7618548870087;1922.0209271907806,1931.3729033470154,1909.7185153961182;1922.0439341068268,1931.3897602558136,1909.7952809333801,1931.3834900856018
