server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
653.6803123950958,663.0627014636993,641.4456639289856;653.6186819076538,660.0489885807037,644.2730469703674,663.0575430393219,641.3642807006836;653.5875260829926,662.9827334880829,641.3889789581299;653.6052932739258,663.0617365837097,641.2701070308685;653.4674317836761,663.0517325401306
690.7277488708496,703.0268731117249,678.6045045852661,697.0181183815002,675.5144085884094;687.7003090381622,700.0174725055695,678.5277585983276;690.6738600730896,697.0169711112976,675.386382818222;684.6307618618011,699.9719471931458,675.5474352836609;684.7341668605804,703.025680065155
730.6673653125763,740.0317032337189,715.3953487873077;730.6138110160828,740.0254545211792,715.3610849380493;724.5468330383301,740.0305171012878,715.5292251110077,739.9783368110657,715.4636144638062;727.6291048526764,739.9671864509583,712.3627150058746;724.4820921421051,739.973394870758
764.759049654007,776.9898309707642,752.4941704273224;764.685542345047,773.9571645259857,752.5244669914246;764.708212852478,776.9591519832611,755.5251131057739,776.9889848232269,755.3996636867523;764.5241582393646,773.9967784881592,749.4834134578705;761.6854224205017,770.9962828159332
804.6426997184753,816.8851392269135,789.2648105621338;801.5167458057404,816.8839361667633,789.432888507843;801.6151468753815,810.876003742218,789.403975725174;804.5874676704407,813.9178931713104,789.2467052936554;801.4488430023193,813.9054462909698,789.5021011829376,813.9157891273499
844.5071330070496,853.8325023651123,826.3151557445526;841.4538276195526,850.820220708847,829.3172504901886;844.4425909519196,853.8315026760101,832.2686905860901;844.3889894485474,853.762791633606,832.2897164821625,853.8262560367584,826.2324469089508;838.4251155853271,850.8222742080688
881.5898983478546,899.8354306221008,866.3746294975281;881.534099817276,890.8645405769348,866.3036215305328;878.500818490982,890.8136775493622,866.2112758159637;881.5004003047943,899.8344490528107,866.1859185695648;878.3843243122101,890.8630216121674,866.4282155036926,887.8631343841553
954.7100961208344,966.9967131614685,912.0803735256195;924.2763385772705;939.4660019874573;954.6462409496307,963.9762313365936,912.1468577384949;924.3191511631012;939.4890511035919;948.6564147472382,963.9884748458862,909.1388185024261;921.2794425487518;933.4356400966644;945.6223537921906,963.9894418716431,918.0602080821991;930.2897384166718;942.410906791687;951.5296061038971,963.9302034378052,945.2964408397675,966.9955179691315
994.701013803482,1003.9942717552185,979.3611404895782;994.6399688720703,1003.9124119281769,979.343512058258;994.5045297145844,1000.9794270992279,982.3483440876007,1000.982346534729,979.4289779663086;991.6453318595886,1003.9930984973907,976.3307976722717;988.4535160064697,1003.9873390197754
1031.6187019348145,1040.9241724014282,1019.4223890304565,1037.9194610118866,1019.2606151103973;1028.4445238113403,1040.9218955039978,1019.4014649391174;1031.5652227401733,1040.9192199707031,1019.3408002853394;1031.5652194023132,1040.9233832359314,1013.3298606872559;1025.4768326282501,1037.9218435287476
1065.5590062141418,1074.8653202056885,1056.3141331672668,1071.8578090667725,1056.2900924682617;1065.4200406074524,1074.8641691207886,1053.325299024582;1065.4927215576172,1071.7833273410797,1053.3150703907013;1065.4528889656067,1074.8168082237244,1053.166119337082;1065.3947989940643,1074.8595080375671
1102.5156407356262,1117.7419130802155,1087.1166369915009;1102.3232355117798,1111.7407479286194,1087.2854495048523;1102.462679862976,1108.7212884426117,1090.2130644321442,1111.7698910236359,1087.2255125045776;1099.423665523529,1114.7655985355377,1087.1732151508331;1096.359049320221,1117.7407622337341
1148.4603860378265,1157.7637767791748,1133.1748173236847;1142.366741657257,1157.674649477005,1133.2831013202667,1154.7471783161163,1130.1781692504883;1142.33784365654,1157.750875711441,1133.2207090854645;1148.4084508419037,1157.7569501399994,1127.1438629627228;1139.3013546466827,1157.7625510692596
1185.4292724132538,1194.7200634479523,1173.261223077774,1194.7139616012573,1173.0735745429993;1182.2250895500183,1194.7173182964325,1173.2010362148285;1185.3715188503265,1194.7165131568909,1173.181658744812;1185.3605208396912,1194.7192511558533,1170.040073633194;1182.2498698234558,1194.715276479721
1222.386761188507,1234.6678993701935,1209.9618818759918,1234.6671018600464,1206.9655182361603;1219.162761926651,1234.6120200157166,1207.0371315479279;1222.225692987442,1228.66246342659,1207.1424589157104;1222.3170177936554,1231.6039519309998,1207.1254467964172;1219.287750005722,1231.6648173332214
1259.2464032173157,1268.5459315776825,1247.043541431427;1259.1806600093842,1268.5401837825775,1246.9291381835938;1259.1628503799438,1268.544715166092,1250.0536093711853,1265.520940542221,1249.9713950157166;1259.1772792339325,1268.4768874645233,1243.983011007309;1256.098396539688,1268.534462928772
1296.3024590015411,1308.5781977176666,1281.0181562900543;1293.2004699707031,1305.5687804222107,1281.0734133720398;1296.2498478889465,1302.4972627162933,1281.0069572925568;1293.1525831222534,1308.5773031711578,1283.9591915607452,1305.563691854477,1277.9378771781921;1290.1238000392914,1305.5236253738403
1339.1933958530426,1351.5136897563934,1320.973153591156;1330.1418209075928,1351.5125048160553,1320.9570779800415;1339.142793416977,1348.4526665210724,1323.8125021457672;1332.9914093017578,1348.5033774375916,1323.8995010852814,1351.5071218013763,1317.883546113968;1330.0343596935272,1345.5019249916077
1376.2322134971619,1388.5001847743988,1363.963387966156;1376.1572494506836,1385.4927208423615,1364.0279891490936;1376.1772422790527,1385.493462562561,1364.0769119262695,1382.4099516868591,1363.904174566269;1376.118560552597,1388.498999595642,1363.8263502120972;1376.0595648288727,1388.4394226074219
1416.1695787906647,1425.4334514141083,1403.9085805416107;1416.058606147766,1425.4322781562805,1397.9064583778381;1413.074954032898,1422.4226534366608,1400.99285531044;1416.102038860321,1425.3944761753082,1400.91175532341;1410.0731160640717,1425.4264163970947,1403.9323692321777,1422.3861253261566
1453.1304001808167,1465.619958639145,1440.7092266082764;1449.8526554107666,1462.617742061615,1440.8118801116943,1462.6166651248932,1437.8433768749237;1450.0198764801025,1465.6190223693848,1437.8651387691498;1453.0686972141266,1462.6154012680054,1437.7807416915894;1449.956613779068,1459.6142613887787
1496.3204417228699,1505.6040608882904,1478.1073582172394;1490.270387172699,1505.6025998592377,1478.0793635845184;1496.26935172081,1505.5433807373047,1477.999299287796;1490.1885242462158,1502.5949091911316,1477.9092094898224;1490.12983584404,1505.5489404201508,1481.0395991802216,1502.5963914394379
1533.2613084316254,1542.5267615318298,1518.1663837432861;1530.3101754188538,1542.4875314235687,1517.9462509155273;1533.2098846435547,1542.51948595047,1520.893769979477,1542.525478363037,1518.0848410129547;1530.2525780200958,1542.4819357395172,1518.1058404445648;1530.296003818512,1542.492842912674
1570.2794387340546,1579.5648300647736,1554.7809059619904;1567.1050221920013,1576.5536997318268,1555.0681130886078;1570.2250616550446,1579.5302255153656,1555.0520844459534;1570.2023167610168,1579.5639157295227,1557.866280078888,1579.5578269958496,1551.8627145290375;1564.0703024864197,1579.492868423462
1604.2158918380737,1613.496354341507,1595.047967672348,1613.493311882019,1592.0087604522705;1601.2684063911438,1613.42737865448,1588.8459730148315;1601.097880601883,1613.4909307956696,1595.0238575935364;1604.159973859787,1613.4955744743347,1591.9884214401245;1601.2164578437805,1613.4453761577606
1641.2358555793762,1653.5872144699097,1626.027607679367;1638.167760848999,1650.5862131118774,1626.0865638256073,1650.5841076374054,1625.9253070354462;1641.1205332279205,1653.5864326953888,1625.9724209308624;1641.1760170459747,1647.583352804184,1625.7320218086243;1637.9605798721313,1650.5852165222168
1678.2603821754456,1687.5245716571808,1665.8865313529968;1678.1001064777374,1687.5232346057892,1666.0210130214691;1678.1881098747253,1687.5177340507507,1665.9352853298187;1678.1258766651154,1687.5118424892426,1666.0601806640625;1678.2095413208008,1687.5061211585999,1666.102775335312,1684.440018415451
1715.1266596317291,1724.4301526546478,1699.962145805359;1712.1281707286835,1724.4122202396393,1699.7864620685577;1712.036201953888,1724.33847117424,1702.929872751236,1724.4289462566376,1699.764398574829;1715.0713691711426,1724.424563884735,1699.91512799263;1709.0797078609467,1724.4181020259857
1752.0284850597382,1764.4690744876862,1736.7821683883667;1751.9759378433228,1764.4678916931152,1736.7010624408722;1748.9368062019348,1761.2215764522552,1739.731486082077;1751.8602647781372,1758.4594986438751,1736.865318775177;1748.9895479679108,1761.4590904712677,1739.802440404892,1761.4605746269226
1792.1444218158722,1801.4194033145905,1779.919754266739;1789.0618398189545,1801.340167760849,1779.9403247833252,1801.4182665348053,1776.9440133571625;1792.0886297225952,1801.4070966243744,1779.822169303894;1791.9634816646576,1801.3752970695496,1776.790197610855;1786.011661529541,1801.413101196289
1829.0212879180908,1841.350827217102,1813.781112909317;1828.9202349185944,1838.3408651351929,1813.817055940628;1828.9478859901428,1838.3437077999115,1813.8577027320862,1838.2902467250824,1813.6828870773315;1825.8824412822723,1835.283423423767,1813.660727739334;1825.8391580581665,1841.3496158123016
1868.9604523181915,1878.4273912906647,1856.7468745708466,1878.4106495380402,1853.6590082645416;1865.8525342941284,1878.4166233539581,1856.7352895736694;1868.8643972873688,1878.426223039627,1853.600644826889;1865.8233337402344,1878.1934599876404,1853.745980501175;1868.9059300422668,1878.4212651252747
1903.0185747146606,1912.3070392608643,1893.8132300376892,1909.29825258255,1890.7243506908417;1902.866225719452,1912.3058445453644,1890.8355629444122;1902.9668645858765,1912.2891273498535,1887.6915917396545;1899.8598868846893,1912.230239391327,1887.7841560840607;1899.9301352500916,1909.2231149673462
1939.9574172496796,1949.3641505241394,1924.87220287323,1949.352464914322,1924.7616367340088;1933.9487373828888,1949.3627259731293,1924.6579546928406;1936.834225654602,1949.3575201034546,1924.707620382309;1939.899540424347,1949.2774302959442,1924.8119850158691;1936.97642993927,1949.2733733654022
1985.9979782104492,1995.2956235408783,1961.8586404323578;1974.021490097046,1995.2944631576538,1961.8221347332;1974.0059950351715,1995.2604024410248,1964.8887341022491,1992.2241394519806,1964.8274943828583;1985.9478709697723,1995.2897992134094,1961.7133340835571;1973.9305362701416,1992.2855017185211
2023.2994196414948,2032.655675649643,2007.9740784168243;2023.1874310970306,2032.584790468216,2010.9302051067352,2029.6452424526215,2007.874925851822;2023.0546622276306,2032.6494998931885,2007.9132306575775;2023.1482224464417,2032.5899245738983,2008.0226788520813;2020.1946260929108,2032.6545255184174
