server_fit,server_ev,supernode-5_fit,supernode-5_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev
622.2952542304993,631.5843896865845,603.6922717094421;619.2229359149933,628.5813314914703,603.6545696258545;612.9531400203705;622.2292790412903,628.5823900699615,603.6060981750488;612.9749827384949;622.2364976406097,631.5842318534851,615.6513407230377,631.5830428600311,603.6545732021332;613.0125296115875,628.5802080631256
650.2574000358582,659.5631501674652,640.9733159542084,656.5560047626495,640.9181132316589;650.2076516151428,656.5568597316742,640.9454095363617;650.1908044815063,656.4946954250336,649.9775218963623,659.5624904632568,640.8201725482941;647.1873707771301,659.4966886043549
678.2707078456879,687.5373861789703,668.9166643619537;678.2208817005157,684.5291564464569,668.9000940322876;678.220885515213,684.4678814411163,665.9311892986298;678.1630873680115,687.5367960929871,677.9539539813995,687.4691669940948,668.9645493030548,684.5304973125458
706.2329189777374,715.541330575943,696.9065501689911;706.1823415756226,715.5302820205688,696.9363334178925,712.5152988433838,693.7935082912445;703.2713513374329,715.5259168148041,705.8767306804657,715.5407497882843,696.8942170143127;706.1783998012543,712.5165264606476
734.2810523509979,743.5757033824921,721.9196174144745;734.2288999557495,740.505975484848,721.8982708454132;734.2288966178894,743.5156342983246,724.9601290225983;734.1721847057343,743.5698163509369,733.8893392086029,743.5750918388367,724.9917676448822,740.5633111000061
768.6861822605133,777.9772484302521,749.957433462143;762.3325564861298,774.9225080013275,752.9875245094299;759.3559112548828;768.5640661716461,774.9742102622986,753.0373337268829;768.6263179779053,774.9785673618317,762.0197174549103,777.977064371109,752.9646303653717;759.3604791164398;768.6115186214447,774.9831335544586
796.7313296794891,809.0282530784607,787.418573141098,802.9565095901489,787.3814811706543;793.6465065479279,806.0197730064392,787.3308725357056;796.6810100078583,803.012615442276,796.3136489391327,809.0280826091766,787.3860273361206;796.6589591503143,802.9575231075287
827.6725516319275,836.9525730609894,815.3778729438782;827.6234185695648,836.9466643333435,815.3566489219666;827.5806894302368,833.9401664733887,818.2866978645325;827.6234142780304,833.8827612400055,827.4920771121979,836.9519822597504,818.4567728042603,833.90345287323
864.9183268547058,874.1843740940094,843.3177344799042;855.6273202896118,871.2210640907288,846.3470890522003;855.5424330234528;864.8355391025543,871.226514339447,846.3787245750427;864.8685464859009,871.2272579669952,858.3381791114807,874.1837863922119,846.3214111328125;855.5938048362732;861.8331594467163,871.2255432605743
902.2432835102081,911.4926552772522,880.6572325229645;892.9085488319397;902.191596031189,911.4920411109924,880.6621234416962;892.8806207180023;902.1376526355743,908.4420623779297,883.6915402412415;902.1915922164917,908.4440729618073,895.6826202869415,911.4875175952911,883.6560988426208;892.9514348506927,908.4429676532745
