server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
132.72454571723938,142.0340940952301,117.54207611083984;132.66888070106506,142.03085708618164,117.50473427772522;129.74422240257263,138.97088932991028,120.47683215141296;129.64454197883606,142.03324937820435,120.5912537574768,142.03222918510437,117.45549321174622;126.74567770957947,141.99423384666443
172.7886984348297,182.16829252243042,157.39974069595337;169.67616295814514,179.15389490127563,157.43304443359375;172.73175883293152,182.16708993911743,157.5049524307251;166.71503901481628,182.1517026424408,157.5498025417328,179.1486246585846,154.36601400375366;169.7085304260254,179.13922715187073
218.86758732795715,237.2023344039917,197.54596996307373;206.77810335159302,228.09696555137634,197.5782024860382,225.0883584022522,194.5728886127472;206.7817575931549,228.19354152679443,194.54397988319397;218.81827402114868,237.2011308670044,194.46878290176392;206.78540515899658,225.18808031082153
264.98231315612793,274.29075169563293,249.57282400131226;261.86299204826355,271.2754464149475,252.63766169548035,274.2877507209778,249.6322319507599;264.9311726093292,274.2856731414795,249.63223528862;264.91775703430176,274.28991055488586,249.59405088424683;258.74848198890686,274.28189754486084
302.038343667984,311.3856625556946,289.72575664520264;301.96388006210327,311.3845257759094,286.62958216667175;301.97596430778503,311.3097896575928,289.7489652633667,311.38007974624634,289.55962800979614;298.932208776474,311.37415528297424,283.6018650531769;298.91831636428833,311.31728053092957
339.0512466430664,348.39441871643066,326.80193567276;338.9740855693817,345.3800115585327,326.84613013267517,348.3932845592499,326.81590366363525;338.99847197532654,345.38271260261536,320.7997031211853;336.06421995162964,348.3874247074127,320.80402183532715;333.0535624027252,348.27676033973694
376.1342740058899,385.48156332969666,363.84767055511475;373.04469895362854,385.40892577171326,363.92835569381714,385.41416025161743,360.84988045692444;376.0800995826721,385.4802179336548,360.69405341148376;369.9953899383545,385.4745078086853,357.82146644592285;373.0001494884491,382.4661054611206
413.30364084243774,422.62977600097656,397.93892455101013;410.09906005859375,422.55511569976807,400.9771077632904,422.618901014328,397.96750235557556;413.24338150024414,422.6114583015442,397.89486742019653;410.20709228515625,422.62375140190125,397.9675052165985;407.2454731464386,422.62862968444824
447.54551911354065,456.8758029937744,435.14648818969727;447.48818278312683,456.8746569156647,435.14648509025574;447.485116481781,456.80600118637085,438.1182692050934,456.8196270465851,435.1011333465576;447.456294298172,456.86409163475037,435.10113644599915;444.39517641067505,456.87027525901794
484.73587250709534,494.05948662757874,469.33356189727783;484.66443490982056,494.05831933021545,469.3335647583008;484.668203830719,490.9838535785675,469.28420972824097;481.58116149902344,494.04881715774536,472.33674335479736,494.0529477596283,466.25697445869446;481.61150097846985,494.0477499961853
