server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
292.71732926368713,299.0161850452423,280.3858759403229;292.66715383529663,299.00562953948975,283.44717383384705,298.9499583244324,283.4471769332886,299.01088428497314,283.3574335575104;289.59679532051086,298.9831337928772,283.4050045013428;292.6476767063141,299.01558780670166
317.66657280921936,326.9569456577301,308.3979015350342,326.93767499923706,308.39790439605713,326.9563162326813,308.3323872089386;317.6170070171356,323.9297580718994,308.30814695358276;317.61701011657715,323.93153524398804,308.3045117855072;317.56096506118774,323.9306638240814
345.77425503730774,355.11200881004333,336.42711424827576,355.0338327884674,336.39136481285095;345.7229483127594,352.0986030101776,339.3804473876953,355.10632729530334,336.36066794395447;342.61997509002686,355.1114249229431,333.24004316329956;345.71916675567627,352.0996518135071
373.8948242664337,383.18270993232727,361.5212297439575;373.79407691955566,377.17280554771423,364.6014897823334,380.1762833595276,364.5655541419983;373.8431990146637,380.177086353302,364.5234694480896;373.8432021141052,380.17525148391724,364.6014928817749,383.1821138858795
401.92959547042847,411.224956035614,392.5381610393524;401.87152314186096,408.215895652771,392.5952274799347,408.2139403820038,392.48054695129395;401.8715193271637,408.216835975647,395.5838575363159,411.2242970466614,389.54269003868103;401.8095760345459,408.214848279953
433.0840606689453,442.4370994567871,420.6755015850067;430.0081729888916,442.37462401390076,420.7232165336609;433.0304915904999,442.43691968917847,420.7596113681793,439.3980917930603,420.7596085071564,442.4359612464905,417.5749125480652;429.963045835495,439.4288520812988
461.212828874588,470.5828113555908,448.7798442840576;461.16186022758484,470.58259558677673,451.93322563171387,467.57914662361145,451.88868165016174;458.1486928462982,467.57735204696655,451.9332287311554,467.5781853199005,451.8256585597992;461.1618642807007,467.5760111808777
489.317152261734,498.62224102020264,479.87341928482056;486.1768527030945,498.6216628551483,479.98970222473145,495.61657428741455,479.9341757297516;489.26594066619873,495.6148247718811,476.9301950931549;489.2659447193146,495.6157031059265,479.989705324173,495.6137144565582
517.3968603610992,526.6975705623627,507.9604215621948;517.3473827838898,523.683073759079,508.0300102233887,526.692608833313,508.0300135612488,523.6839318275452,507.96503829956055;517.3473861217499,523.6524844169617,504.99053406715393;517.308872461319,526.6969981193542
545.3812100887299,551.6859083175659,536.034592628479;545.3226742744446,551.5961649417877,536.1459486484528,551.6807796955109,533.0609283447266;545.3226709365845,551.685328245163,536.0758509635925,551.5951943397522,533.0549948215485;545.2671976089478,551.6752281188965
570.4874794483185,576.8003079891205,561.1413056850433;570.4086883068085,576.7997484207153,561.2325673103333,576.7904450893402,561.188750743866;570.437581539154,576.7042303085327,561.2325644493103,576.7853198051453,561.1374971866608;567.424859046936,576.7954921722412
595.5232286453247,604.790100812912,589.1050305366516,601.7691824436188,589.1013646125793,604.7895092964172,586.1901409626007;595.4180233478546,601.8068006038666,586.1991109848022;595.4735641479492,601.8087379932404,586.1945381164551;595.4640364646912,601.8078906536102
623.5664114952087,632.866147518158,614.0619366168976;623.3727712631226,629.8638064861298,614.1681339740753;623.5162961483002,632.8657073974609,614.0779566764832;623.5131750106812,629.8646442890167,614.2108323574066,629.8627736568451,614.2108354568481,632.8628134727478
651.7096042633057,661.038412809372,642.2682497501373;651.6605761051178,661.0330810546875,645.2897527217865,661.0378386974335,642.2910902500153;651.6243484020233,658.026141166687,645.2251992225647,660.9665744304657,642.2966754436493;651.6605725288391,658.0249300003052
679.7592980861664,689.0389368534088,670.3172709941864;679.6991310119629,688.9819514751434,670.3606045246124;679.6958141326904,689.0383014678955,670.565027475357,686.0320858955383,670.5762948989868,686.0329279899597,670.3837022781372;676.6632347106934,686.0337128639221
707.7398495674133,717.0073864459991,698.4445779323578,714.0060436725616,695.3783857822418;707.6737139225006,717.0071964263916,698.377650976181;704.6729664802551,713.9495742321014,698.2922773361206;707.6901016235352,714.0043902397156,698.4445748329163,714.0052351951599
735.688912153244,741.9442248344421,726.2471940517426;735.576409816742,741.9440612792969,723.3157732486725;735.6374785900116,741.9076402187347,726.3886969089508,741.9085450172424,726.3887000083923,741.9432067871094,726.3533964157104;735.6374819278717,741.9396753311157
760.6215877532959,769.8995759487152,751.2884569168091;757.6010329723358,769.8990087509155,751.3420696258545,769.8945806026459,751.2221410274506;757.5627219676971,769.8890793323517,751.3420729637146,766.8832128047943,748.2334229946136;760.5714507102966,766.8820502758026
788.6173260211945,797.8969883918762,779.2053537368774;788.5677762031555,797.891854763031,779.2825300693512,791.8812456130981,779.2060406208038;788.5677795410156,794.8829472064972,782.2572841644287,797.8963596820831,779.2339072227478;788.4990475177765,794.8818037509918
816.608644247055,825.8875777721405,810.2978727817535,825.8874268531799,807.3236837387085,822.878710269928,804.1981120109558;816.5326488018036,822.8795115947723,807.2517895698547;816.5495176315308,822.8236939907074,807.2840168476105;813.5280041694641,822.822704076767
844.572678565979,853.8243317604065,835.2426755428314;841.5404095649719,853.8237767219543,835.4709823131561,853.7764356136322,835.4598865509033,850.8163883686066,832.3994822502136;844.520495891571,850.8153614997864,835.2426791191101;841.4974403381348,853.7756428718567
872.6202812194824,878.9059941768646,860.2080154418945;872.5711081027985,878.9033722877502,863.2973954677582,878.9057102203369,863.2430837154388;872.57111120224,878.8999938964844,863.2973985671997,878.8674626350403,860.2080116271973;872.5280222892761,878.8948595523834
897.6274862289429,906.8897836208344,888.3008549213409,903.9478759765625,888.2649939060211;897.5113778114319,903.9470019340515,888.3008518218994,903.9486949443817,888.1621329784393;897.5761153697968,903.8952569961548,888.2581069469452;897.5761187076569,906.8895974159241
925.6006026268005,934.8819398880005,916.3186888694763,931.8753597736359,916.3186922073364,931.8733470439911,916.2598803043365;925.4863185882568,931.8059768676758,916.1779441833496;925.5482845306396,931.874648809433,913.1810295581818;925.5482878684998,934.8813533782959
953.7257888317108,960.0681529045105,944.272066116333,959.9954926967621,944.2227461338043;953.6671452522278,960.060745716095,944.2720632553101,960.0626702308655,941.205991268158;953.6671421527863,960.0617136955261,941.2113606929779;953.6129868030548,960.0675737857819
978.8141987323761,988.0822286605835,969.3235845565796;978.7652351856232,985.0705716609955,969.496545791626,985.0726115703583,969.4965488910675,985.0715680122375,969.4423739910126;978.765239238739,985.0735471248627,969.4144108295441;978.7041914463043,988.0815627574921
1006.7719779014587,1016.0608496665955,997.4325580596924;1003.7096519470215,1016.056606054306,997.4752058982849,1016.0606482028961,997.4752089977264,1013.0510540008545,997.3552272319794;1006.6616296768188,1015.9941909313202,994.368715763092;1006.7214615345001,1013.0499682426453
1034.9236769676208,1044.2114386558533,1025.5297729969025;1034.874363899231,1044.2112386226654,1025.571971654892,1044.2099006175995,1025.5719692707062,1041.2077074050903,1022.5652816295624;1034.816656589508,1038.2070972919464,1022.5652775764465;1034.8743605613708,1041.1315233707428
1062.9728457927704,1072.1770555973053,1053.5076441764832;1062.9232161045074,1069.2260596752167,1053.554622888565;1062.8764824867249,1069.2270720005035,1050.5591733455658;1062.9232196807861,1069.227775335312,1053.6234633922577,1069.22514295578,1053.6234664916992,1072.176460981369
1090.886837720871,1100.1706020832062,1081.4607017040253;1090.8281016349792,1097.1621391773224,1081.6736023426056,1100.1703996658325,1078.4493081569672;1090.7945518493652,1097.160388469696,1081.6461699008942,1097.1630411148071,1078.482629776001;1090.8280985355377,1097.1612341403961
1118.9167766571045,1128.2128493785858,1112.5458028316498,1128.2126455307007,1112.5758543014526,1125.2090513706207,1109.5494322776794;1118.8655276298523,1128.1736252307892,1109.4941749572754;1118.8028047084808,1125.2101073265076,1106.553029537201;1118.865525007248,1125.2110514640808
1146.928786277771,1153.2148208618164,1137.5829429626465;1146.8200488090515,1153.1338782310486,1137.5789563655853;1146.8779950141907,1153.2142758369446,1140.539379119873,1153.2079231739044,1140.6207563877106,1153.135268688202,1137.587681055069;1146.877997636795,1153.2105462551117
1172.1123280525208,1181.3607170581818,1162.8134129047394,1178.3566529750824,1162.7511537075043;1172.0630993843079,1178.3578462600708,1162.4811737537384;1172.0631029605865,1178.2965364456177,1162.8134098052979,1181.3604621887207,1159.7453474998474;1172.003583431244,1178.3586559295654
1200.021071434021,1209.332088470459,1190.5925285816193;1199.9705138206482,1209.3314700126648,1190.6684243679047;1199.9668300151825,1206.3226096630096,1190.7022256851196,1206.2842798233032,1193.6709477901459,1209.2750425338745,1187.655458688736;1196.9127113819122,1206.3235857486725
1231.067102432251,1240.3453295230865,1218.7549476623535,1240.3447573184967,1221.6315894126892,1240.286767244339,1218.6792840957642;1231.0046045780182,1237.2785868644714,1218.7080166339874;1231.0084574222565,1237.3383498191833,1218.6089560985565;1227.9829471111298,1237.3372435569763
1259.1233134269714,1268.4545311927795,1246.6696105003357;1259.03861951828,1265.4456577301025,1249.8204445838928;1259.0708343982697,1265.4468033313751,1249.7707488536835;1256.0574429035187,1265.3613119125366,1249.8655149936676,1265.4448945522308,1249.8655121326447,1268.4539632797241
1287.1782953739166,1293.4567766189575,1277.8894968032837,1293.4556512832642,1274.8192143440247;1287.1192951202393,1293.456612586975,1277.8894934654236,1293.4058022499084,1277.8268206119537;1287.0597579479218,1293.4543085098267,1274.8390963077545;1287.1192917823792,1293.4050133228302
1312.1698865890503,1318.4359066486359,1302.7575953006744;1312.0817551612854,1318.4341251850128,1302.8245239257812,1318.432970046997,1305.7792398929596,1318.4316322803497,1302.7333302497864;1312.1210374832153,1318.4305827617645,1302.78360080719;1312.1210408210754,1318.435659646988
1337.2087342739105,1346.501740694046,1327.8016757965088;1337.1599099636078,1343.4876799583435,1328.0205154418945,1346.4956114292145,1327.6690039634705;1337.1599128246307,1346.5011358261108,1327.8065993785858;1337.1043248176575,1346.4257912635803,1328.0017635822296,1343.444949388504
1368.2213563919067,1377.5143041610718,1355.9447379112244,1377.5082941055298,1355.9447350502014,1377.5132927894592,1355.902680158615;1365.2208216190338,1377.512378692627,1352.8673837184906;1368.162884235382,1377.5141549110413,1352.873899936676;1365.1805505752563,1374.5026061534882
1396.2436010837555,1405.5303299427032,1386.946340084076,1402.5215945243835,1386.867473602295;1396.1934502124786,1402.5196149349213,1386.94633603096,1399.5191342830658,1386.863247871399;1396.1893706321716,1402.5205850601196,1386.8914277553558;1393.1568648815155,1405.52974319458
1424.2374966144562,1430.5304412841797,1414.9066982269287;1421.184396982193,1430.4572658538818,1414.9229307174683;1424.1666522026062,1430.5165588855743,1414.982836008072,1430.5220770835876,1414.9828326702118,1430.529880285263,1414.8721206188202;1424.1868765354156,1430.4705634117126
1449.2943193912506,1455.6229388713837,1439.9586536884308,1455.6223530769348,1439.9135251045227;1449.2399547100067,1455.5535733699799,1439.9135291576385;1449.243629693985,1455.6173872947693,1439.958657026291,1455.6126956939697,1436.78400182724;1446.169409751892,1455.5579657554626
1474.3983421325684,1480.6843814849854,1465.0204586982727;1474.3426191806793,1480.683434009552,1465.0649466514587;1471.3068335056305,1480.6792228221893,1464.9958636760712;1474.346158027649,1480.6174900531769,1465.1057002544403,1480.620177745819,1465.1057033538818,1480.6842157840729
