server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
275.7821228504181,282.0982246398926,266.33234167099;275.73060607910156,282.0355489253998,266.4167242050171,282.0307936668396,266.25940203666687;275.66955161094666,282.097576379776,266.3587110042572;275.73060274124146,279.083918094635,266.416720867157,282.09246134757996
300.95187854766846,310.24116468429565,291.5255446434021;297.86160254478455,307.23141837120056,291.6246988773346,307.23051714897156,291.5844600200653;300.8541672229767,307.22950768470764,291.62469601631165,307.2322630882263,291.5209217071533;297.89963817596436,310.2405483722687
329.06255197525024,335.3993396759033,319.63313007354736;329.0078172683716,335.3987076282501,319.7192714214325,335.39298462867737,319.6331350803375;325.89930844306946,335.3848147392273,319.7192747592926,335.33729219436646,319.6864562034607;329.0114929676056,332.38623046875
354.1644434928894,363.40565037727356,347.8434238433838,363.4050920009613,344.82539796829224;354.09566617012024,360.46085810661316,344.8609654903412,360.4625985622406,344.7494628429413;354.11275720596313,360.3961133956909,344.8202848434448;351.09128761291504,360.4617369174957
382.3018567562103,391.63300466537476,372.87636041641235;382.24169969558716,388.63033270835876,372.83737111091614;382.1812205314636,388.62941551208496,375.86253595352173,391.6327841281891,375.86709117889404,391.5414385795593,372.8763644695282;382.2417027950287,391.5639441013336
410.2993423938751,419.5564715862274,400.92518496513367;407.189284324646,416.5755202770233,401.01138639450073,419.5550363063812,400.9507257938385;410.247412443161,416.5404007434845,401.0113890171051,416.53945088386536,397.93799090385437;410.24342823028564,416.5763969421387
438.4106774330139,447.73640847206116,428.9788725376129,444.6369688510895,431.93305468559265,447.735812664032,428.9329330921173;438.3599328994751,444.7264869213104,428.85433173179626;438.2974627017975,444.7275869846344,425.85663175582886;438.3599362373352,444.7286150455475
466.4483370780945,472.8362729549408,454.08930110931396;466.39844489097595,472.83058619499207,457.06814551353455;466.3396236896515,472.82608699798584,457.0509624481201;466.3984408378601,472.82142162323,457.1301848888397,472.8356533050537,457.1301817893982,472.81599044799805
491.72407484054565,500.956152677536,482.3242497444153,500.9554924964905,482.3242471218109,497.9859757423401,479.1807327270508;491.6725549697876,497.9817154407501,482.2822046279907;491.6725580692291,497.94697403907776,479.17412066459656;491.5335612297058,497.9850308895111
519.6762459278107,528.9042012691498,513.3157923221588,528.9035956859589,510.39467191696167,525.9543716907501,510.30557656288147;519.6138083934784,525.956036567688,510.36095094680786;519.6100225448608,525.9533984661102,510.360946893692;516.6017255783081,525.9551854133606
547.744903087616,554.131227016449,538.3890051841736;544.6830205917358,554.1265363693237,538.4592595100403,554.044148683548,538.459263086319,554.1211588382721,538.4163298606873;547.6784646511078,554.1185994148254,538.3890101909637;547.6944830417633,554.130560874939
572.7215645313263,579.0627224445343,563.5449090003967,578.9722476005554,560.4702386856079;572.6496136188507,579.0503315925598,560.4864730834961;572.6718337535858,579.0595195293427,563.5612089633942,579.0555865764618,563.384840965271;569.6363077163696,579.0623416900635
597.9011571407318,607.1812252998352,591.514607667923,607.1805584430695,591.42516040802,607.1701996326447,588.5470807552338;597.850124835968,604.1189980506897,588.5309400558472;594.8092312812805,604.1637604236603,588.5530052185059;594.8575365543365,607.1756048202515
625.8736417293549,635.1555547714233,616.4342441558838;625.8250117301941,632.2146363258362,616.5761363506317,635.1549220085144,616.5761396884918,632.1456711292267,616.5101761817932;625.8250153064728,632.2092056274414,616.5136210918427;625.7712669372559,632.2193901538849
653.9845101833344,663.273802280426,644.6173446178436,663.2731306552887,644.520423412323;653.873880147934,660.2659885883331,644.6173477172852,660.2647926807404,644.558712720871;653.9273903369904,660.1887550354004,641.5106928348541;653.9273931980133,660.2636601924896
681.9709000587463,691.3439342975616,672.6952705383301,688.3397099971771,672.6180136203766;678.9256255626678,691.3437359333038,672.6292369365692;681.9209821224213,688.3417935371399,669.6188490390778;681.8866231441498,688.3427338600159,672.6952681541443,688.3406322002411
710.013653755188,716.2967548370361,700.7350423336029,716.2699718475342,700.679740190506;709.9634273052216,716.2962749004364,700.6539740562439;706.9406099319458,716.2925364971161,700.6338775157928;709.9420144557953,716.2871537208557,700.7350392341614,716.2776510715485
735.1984143257141,744.4807000160217,725.7808718681335,741.4737837314606,725.7356309890747;735.1478929519653,741.4011232852936,725.7394707202911;735.0836040973663,744.4801290035248,725.7808690071106,741.4718260765076,725.735627412796;735.1478896141052,741.4728643894196
763.2444171905518,772.5359487533569,753.8401219844818;763.1955227851868,769.5271871089935,753.9307959079742,769.5245110988617,753.9307925701141,772.5353331565857,753.8722014427185;763.1955263614655,769.5253527164459,750.8299117088318;763.1339237689972,769.5262885093689
791.3450577259064,800.7232270240784,782.0124113559723,797.714592218399,781.9160685539246;791.2302253246307,797.7136375904083,782.0124082565308,797.7163097858429,781.9467780590057;791.2869892120361,797.7155110836029,781.9514183998108;791.2869923114777,800.7226428985596
819.4327306747437,825.7121078968048,810.0718410015106;819.382975101471,825.7078065872192,810.0178790092468;816.2815754413605,825.711923122406,810.1179950237274,825.7092320919037,810.1179983615875,822.7069840431213,810.0718371868134;819.3787009716034,825.7104811668396
844.4577493667603,853.7512655258179,835.1375901699066,850.7428071498871,832.0902314186096;844.3645470142365,850.74462723732,835.0722143650055;844.4081041812897,853.7510685920715,835.1375868320465,850.7436857223511,832.1094326972961;844.4081072807312,850.7456388473511
872.4641451835632,881.808424949646,863.2126226425171,878.7887818813324,863.1371273994446;869.4520859718323,881.7972719669342,863.1536376476288;869.4187619686127,881.8078179359436,863.149539232254;872.4134624004364,878.7915666103363,863.2126197814941,881.8035035133362
900.5467000007629,909.8349227905273,891.2314343452454,906.8277566432953,891.1225411891937;900.4749183654785,906.824946641922,891.1915657520294;897.4463675022125,906.8269155025482,891.2314319610596,906.8257884979248,891.1515114307404;900.4967513084412,909.8342895507812
928.5863738059998,934.9289655685425,919.2541286945343,934.924482345581,919.1728904247284;928.5264360904694,934.9287042617798,919.2541255950928,934.9255430698395,919.1981165409088;928.5264325141907,934.9273386001587,916.1412196159363;928.4724540710449,934.9263544082642
953.6086831092834,962.8965022563934,944.3308057785034,959.8867754936218,944.2764172554016;950.5353226661682,959.8859646320343,944.3308029174805,959.8849022388458,941.2673101425171;953.55752825737,959.8876042366028,944.27184009552;953.5331573486328,962.8959007263184
981.7062966823578,990.9971270561218,975.3408815860748,990.9946529865265,972.3633375167847,987.9920933246613,969.2951645851135;981.5941050052643,990.9969775676727,972.3171045780182;981.6567590236664,987.993077993393,969.3114938735962;981.6567628383636,990.9961512088776
1009.65558552742,1015.9604003429413,997.3175013065338;1009.5944225788116,1015.9465503692627,1000.3866410255432,1015.9548447132111,1000.3355700969696;1006.5954115390778,1015.9504363536835,1000.3866379261017,1015.9598414897919,997.3223140239716;1009.6056785583496,1015.9455201625824
1034.7768800258636,1041.0763719081879,1022.3015856742859;1034.7278046607971,1041.0757546424866,1025.409892320633,1041.0714149475098,1025.40988945961,1040.9860417842865,1025.3548426628113;1034.7278015613556,1041.0671985149384,1025.368528842926;1034.6757214069366,1041.0682232379913
1059.9088897705078,1066.1622729301453,1050.5592432022095;1056.8235108852386,1066.155648946762,1050.6257479190826,1066.1604359149933,1050.572054386139;1059.8456065654755,1066.1613202095032,1047.5530800819397;1059.849472284317,1066.1621067523956,1050.6257450580597,1066.1594183444977
