server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
147.99883604049683,160.29832005500793,135.58122158050537;147.9435043334961,157.28516364097595,132.67826771736145;147.93815994262695,160.29740500450134,135.62265586853027,157.29151010513306,132.67306756973267;147.83215475082397,160.29645466804504,129.63153195381165;147.90828204154968,157.29260087013245
188.09508562088013,197.4452965259552,172.72113823890686,197.44252228736877,172.57673859596252;184.97450399398804,197.43977618217468,172.65767073631287;188.03689694404602,197.38715648651123,172.5945761203766;188.03936862945557,197.44442343711853,172.67902851104736;184.9934594631195,194.43464994430542
228.23865604400635,237.55112719535828,209.76870489120483;228.1879165172577,234.5388994216919,209.81525421142578;225.12033700942993,237.4709141254425,212.86772918701172;225.16095304489136,237.54979586601257,212.92519354820251,237.5438575744629,209.8344326019287;225.17180347442627,234.53798723220825
265.4253225326538,277.71021842956543,253.04723119735718,274.6993067264557,249.93607330322266;265.3631091117859,277.7090539932251,253.00558352470398;265.3464238643646,271.69234895706177,249.89243340492249;265.31334948539734,274.70312428474426,249.88777494430542;262.31831979751587,274.7004041671753
308.45735359191895,317.80146765708923,293.0895719528198;302.3751323223114,317.7951326370239,292.971928358078;308.3852391242981,317.70582461357117,293.1270809173584,317.78854537010193,289.993451833725;305.3172097206116,317.7827320098877,289.9732117652893;302.3201072216034,317.8003044128418
345.58591961860657,354.88450026512146,330.09886956214905;345.5350308418274,354.8832302093506,330.1897945404053;342.55862641334534,354.8734083175659,333.17877674102783,354.8785743713379,327.11040687561035;342.55862975120544,354.81182050704956,330.1703679561615;339.53663444519043,354.81652307510376
382.70813155174255,392.0361764431,370.3200342655182,392.0350308418274,370.27031230926514;379.63274240493774,392.0198504924774,367.2935481071472;382.65302658081055,391.9507098197937,367.2533175945282;382.6497824192047,392.02550625801086,367.2970383167267;379.6110031604767,392.0308299064636
419.9407866001129,429.2519476413727,407.4844629764557,429.2507870197296,404.41870284080505;419.8831968307495,429.22836470603943,404.4870264530182;419.88742876052856,429.2343330383301,407.4397850036621;419.86512327194214,429.240195274353,404.35447812080383;419.700875043869,429.24539041519165
457.090961933136,466.4353377819061,441.707736492157;457.0362637042999,466.41734170913696,441.66560220718384;454.00389099121094,466.43422532081604,441.71171498298645;456.98364329338074,466.4294624328613,444.67903876304626,466.42424416542053,438.6321313381195;454.0144057273865,463.41240406036377
503.2725787162781,512.5659766197205,478.84281063079834;494.2542374134064,512.5375468730927,481.9310550689697,512.5648109912872,478.79684567451477;494.2366545200348,512.5482504367828,481.8871326446533;503.20696806907654,512.5593791007996,478.8390781879425;494.2507781982422,512.5542216300964
