server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
651.6150739192963,660.9427630901337,642.3087084293365;648.5604567527771,660.9412434101105,642.3922457695007,660.9425883293152,642.308705329895;651.5651729106903,657.9390559196472,642.2473254203796;651.5249466896057,654.9374651908875,642.2288794517517;651.511066198349,657.9376928806305
679.6332674026489,688.9453196525574,670.425971031189,688.9451334476471,670.1725001335144;679.5379154682159,688.9434268474579,670.3401997089386;679.5746231079102,682.9359047412872,670.2787075042725;679.5208916664124,685.9391820430756,670.3401970863342;676.5819549560547,685.8839609622955
710.6370158195496,720.0228478908539,701.2968838214874;710.5858020782471,720.0179631710052,698.3146269321442;707.5786147117615,717.0096566677094,701.3379790782928,717.0038511753082,698.362952709198;710.5685937404633,716.8591241836548,698.2763261795044;704.5690381526947,720.0222504138947
738.7740776538849,748.0540807247162,729.5398321151733,748.012674331665,729.4958543777466;738.709055185318,748.0484073162079,729.4797005653381;738.7228329181671,745.0418562889099,726.3780703544617;738.5670773983002,748.0534126758575,729.3735520839691;738.6490592956543,744.984477519989
766.8503971099854,776.2449595928192,757.4506011009216;766.737988948822,770.2375786304474,757.516194820404;766.7994346618652,773.239669084549,757.5161981582642;766.7817323207855,776.0695312023163,757.6173923015594,776.2447912693024,754.4590392112732;766.7693305015564,773.2406468391418
794.8770229816437,801.1997101306915,788.602212190628,801.1581652164459,785.5948576927185;794.8181879520416,801.1955564022064,782.5611851215363;794.8227820396423,801.1990931034088,785.5694909095764;794.7852640151978,801.1603870391846,782.5223453044891;791.7742278575897,801.1964688301086
819.8496840000153,829.2270348072052,810.6235244274139,826.164514541626,807.5383932590485;819.704313993454,826.2200503349304,810.5922122001648;819.7846055030823,829.2254118919373,810.4632341861725;819.75386095047,829.2264771461487,810.4991917610168;816.7816288471222,826.2190413475037
850.8525817394257,860.1637198925018,838.5381705760956;847.7388830184937,860.1631417274475,835.5759072303772;850.8021268844604,860.0801682472229,838.7222905158997,857.15074467659,838.5931150913239;844.8977949619293,860.1576459407806,838.5650143623352;847.8884739875793,857.151782989502
878.9272210597992,888.137088060379,869.5913517475128;878.8591506481171,885.1807577610016,869.5913543701172;878.8756015300751,885.1841802597046,869.687881231308,885.1850113868713,869.5075998306274;875.832133769989,888.1364054679871,869.5334305763245;875.7966749668121,885.1859719753265
906.8806345462799,916.1547698974609,897.592999458313;906.8298559188843,916.1541426181793,894.4542927742004;906.7597250938416,916.0984177589417,897.6465957164764,913.1475651264191,897.5868020057678;906.8298587799072,913.0889501571655,897.4601838588715;906.7297039031982,913.1485514640808
934.8392848968506,944.127204656601,925.5125584602356;934.7807486057281,941.1389470100403,925.4402298927307;931.7537813186646,941.1381182670593,925.5586318969727;934.7843165397644,941.1020679473877,925.4366402626038;934.7240560054779,941.1011071205139,925.5983276367188,944.1266341209412
962.8328685760498,972.1128392219543,953.5134198665619;962.7737307548523,972.086847782135,953.6133193969727,972.1123087406158,953.5134167671204;959.7797164916992,972.1083445549011,950.4057033061981;962.738073348999,972.1034104824066,953.4604046344757;962.704822063446,969.097083568573
990.762188911438,997.0375263690948,981.3936142921448;990.711925983429,997.0370481014252,981.4767339229584;990.7075726985931,997.0330584049225,978.3819303512573;984.6901445388794,997.0230069160461,981.5030627250671,996.9703094959259,978.4522681236267;987.6855175495148,997.0286972522736
1015.8729691505432,1022.1491630077362,1006.381760597229;1015.7902948856354,1022.1485886573792,1006.459677696228;1015.8192656040192,1022.0850970745087,1009.3030345439911,1022.1390290260315,1006.4596748352051;1015.8224956989288,1022.1302485466003,1006.4357078075409;1012.6833403110504,1022.1443750858307
1040.973605632782,1050.2538466453552,1028.546395778656;1040.8649156093597,1050.2532069683075,1031.6389472484589;1040.9237661361694,1050.1936905384064,1031.5794649124146;1040.9099807739258,1047.2454056739807,1031.7425549030304,1047.186613559723,1031.6389441490173;1040.9099760055542,1047.2444541454315
1068.9257006645203,1078.1639409065247,1059.6914649009705,1075.1622421741486,1059.5293259620667;1068.8336544036865,1075.1985034942627,1059.661184310913;1068.875610589981,1075.1976883411407,1059.525812625885;1068.8370196819305,1078.163732290268,1059.6569774150848;1065.8654069900513,1075.1610536575317
1096.9991631507874,1106.2767589092255,1087.7588090896606,1103.2680699825287,1087.687242269516;1096.9390830993652,1103.1973812580109,1087.6152303218842;1096.8794674873352,1100.2649369239807,1087.4048011302948;1096.9390816688538,1103.2672114372253,1087.6872453689575;1096.9390785694122,1106.276160478592
1124.9502503871918,1134.2245173454285,1115.5630247592926;1124.8450384140015,1131.2156519889832,1115.5864126682281;1124.9005110263824,1131.1583189964294,1115.6678614616394;1124.900512933731,1131.156492471695,1118.6249058246613,1134.2238416671753,1112.6207654476166;1124.900507926941,1131.2148213386536
1152.9259531497955,1159.1859755516052,1143.6386919021606;1152.8716197013855,1159.1755800247192,1140.5290975570679;1152.7443811893463,1159.1853911876678,1143.5784814357758;1152.8254580497742,1159.1810371875763,1143.6386950016022;1149.8846023082733,1159.1204106807709,1143.727691411972,1159.1402504444122
1178.1290888786316,1187.3289062976837,1168.87344622612,1184.3625478744507,1168.7030138969421;1178.079913854599,1184.3211436271667,1168.7753992080688;1178.0799169540405,1184.3616082668304,1168.7754023075104;1178.079918384552,1187.3282766342163,1165.7074842453003;1178.0136301517487,1184.3606233596802
1205.9928171634674,1215.2459456920624,1196.5852987766266;1205.9040739536285,1212.2356152534485,1196.7134628295898;1205.9313733577728,1212.2372274398804,1196.7134664058685;1205.9425988197327,1212.1795191764832,1199.68293094635,1215.2453072071075,1193.5865364074707;1205.8662476539612,1212.236249923706
1233.8155226707458,1240.115148305893,1224.564177274704;1233.7569255828857,1237.0942907333374,1224.6736874580383,1240.1113228797913,1224.5497288703918;1233.7536628246307,1240.100478887558,1221.6402111053467;1230.8754279613495,1240.106788635254,1221.6402072906494;1230.9045548439026,1240.1147255897522
1258.885252714157,1268.2355952262878,1252.6031448841095,1268.1821138858795,1249.617291212082;1258.833991765976,1265.2284336090088,1246.3977541923523;1255.8049612045288,1265.2273342609406,1249.5977265834808;1258.8339879512787,1268.2350199222565,1246.5994551181793;1255.843652009964,1265.1738307476044
1286.9734778404236,1296.240144252777,1277.5554449558258;1286.8729672431946,1296.1828272342682,1277.6211533546448;1286.922084569931,1296.2395067214966,1277.6211564540863;1286.918187379837,1293.2340631484985,1277.6997582912445,1293.174700498581,1274.5764260292053;1286.9005987644196,1293.2331895828247
1314.9404010772705,1324.2124419212341,1305.7025771141052,1321.2080833911896,1305.4859337806702;1311.8395156860352,1324.2122616767883,1305.5280895233154;1314.8703711032867,1321.2073135375977,1305.583250284195;1314.8901550769806,1321.1284160614014,1305.5832533836365;1311.8837184906006,1321.2059845924377
1343.1048157215118,1352.3571915626526,1333.7539277076721;1343.0531704425812,1349.3523745536804,1333.6873717308044;1339.9706239700317,1349.3533985614777,1333.7539308071136;1343.049553155899,1349.3176782131195,1333.845366716385,1349.2979898452759,1333.4690749645233;1342.960437297821,1352.357034444809
1371.0584924221039,1380.3124432563782,1361.7805182933807;1370.9976036548615,1380.3118736743927,1361.6511483192444;1370.968496799469,1380.2901141643524,1361.7866716384888;1367.9883544445038,1377.3054971694946,1361.8229451179504,1377.3062465190887,1358.661822795868;1370.9463708400726,1377.2494206428528
1399.0478284358978,1405.3704977035522,1389.7787141799927,1405.337262392044,1389.5783512592316;1398.9981935024261,1405.359629869461,1389.7414846420288;1398.9981920719147,1405.3699507713318,1389.6463248729706;1398.9981887340546,1405.3035464286804,1389.613522052765;1398.9527740478516,1405.3655819892883
1426.913892507553,1433.2063326835632,1414.6987862586975;1423.9222719669342,1433.2059636116028,1414.7415990829468;1426.8599545955658,1433.1903095245361,1417.7037320137024;1423.8796336650848,1433.2033152580261,1417.73859333992,1433.2006883621216,1411.7049214839935;1420.935816526413,1433.1956944465637
1451.9446914196014,1458.2108693122864,1442.6434936523438,1458.2099032402039,1439.5644390583038;1448.8272125720978,1458.1524477005005,1442.6124603748322;1451.8902263641357,1458.2107136249542,1439.5445601940155;1448.856647014618,1458.2089734077454,1442.6167788505554;1451.8942410945892,1458.1541559696198
1479.8443081378937,1486.1278402805328,1467.5494592189789;1479.7891528606415,1486.122968196869,1467.4483664035797;1479.6793100833893,1486.1170809268951,1467.58500623703;1476.7777736186981,1486.0606701374054,1467.6184251308441,1486.0818362236023,1464.507973432541;1476.7323262691498,1486.1272621154785
1507.9408402442932,1517.4068801403046,1495.4535501003265;1504.9232473373413,1514.3928577899933,1495.7169063091278,1514.3918671607971,1495.5932350158691;1507.882649421692,1517.401364326477,1495.6309702396393;1504.9232501983643,1517.4062790870667,1495.6309731006622;1504.8721613883972,1514.1599481105804
1536.0617008209229,1545.2992680072784,1526.7953984737396;1536.0092160701752,1542.3578608036041,1526.6898126602173;1535.9689135551453,1545.299040555954,1526.8080191612244;1535.998850107193,1542.356041431427,1526.8344566822052,1542.3286471366882,1523.6760158538818;1535.9329352378845,1542.3570492267609
1564.0527634620667,1573.3211915493011,1554.6281762123108;1563.8198266029358,1573.2642011642456,1554.7033686637878;1564.003407239914,1570.314918756485,1554.7987167835236,1573.320775270462,1554.7033712863922;1560.9633309841156,1570.3163285255432,1551.6167721748352;1563.9439687728882,1570.313730955124
1592.0588517189026,1601.3041388988495,1582.6806554794312;1588.9892182350159,1601.303558588028,1582.6806588172913;1592.0089509487152,1598.3204233646393,1585.5728328227997,1598.3195970058441,1582.639003276825;1591.9772222042084,1598.2647593021393,1579.621938943863;1591.9713690280914,1598.321278810501
1620.0922236442566,1629.3785524368286,1607.6319830417633;1619.888755083084,1626.3777616024017,1610.710680961609;1620.0386459827423,1629.3782391548157,1610.710664987564;1620.0424041748047,1626.3759133815765,1610.6522374153137;1619.8655259609222,1626.3785426616669,1610.8197090625763,1626.3769290447235
1651.033742427826,1660.2524638175964,1638.7163515090942;1647.9824497699738,1657.3026371002197,1641.734830379486;1650.9749903678894,1657.301057100296,1638.722044467926;1647.9824531078339,1657.30184340477,1641.771682024002,1660.252289056778,1638.7693207263947;1647.939284324646,1657.297646522522
1678.9512057304382,1685.2460448741913,1669.6282486915588;1678.8843364715576,1685.2454521656036,1669.6282455921173;1678.9011979103088,1685.2134511470795,1669.72709441185,1682.2378454208374,1666.5682878494263;1678.8742411136627,1685.208426475525,1669.575113773346;1678.8378884792328,1685.2401010990143
1703.8370745182037,1713.1099078655243,1694.517016172409;1700.7787947654724,1713.109266281128,1694.6327080726624,1713.053550004959,1694.608213186264;1703.7868502140045,1710.1029965877533,1691.5825510025024;1700.8359723091125,1710.046820640564,1691.530772447586;1700.8359689712524,1710.103847503662
1731.8705723285675,1738.230532169342,1719.4660770893097;1731.8045938014984,1738.2262196540833,1722.5448784828186;1731.8194904327393,1738.2301836013794,1722.6622462272644,1738.2285721302032,1722.4864611625671;1731.7883973121643,1738.2303647994995,1722.5448815822601;1728.8196291923523,1738.2276198863983
1759.8062937259674,1769.089938402176,1747.6066858768463;1756.8436136245728,1769.088847398758,1744.5783023834229;1759.7516202926636,1769.0897946357727,1747.6253399848938;1756.8383424282074,1766.0859942436218,1747.4946551322937;1756.7664127349854,1766.0880393981934,1747.7390944957733,1766.087107181549
1787.7417623996735,1797.0193836688995,1775.3163030147552;1787.6450703144073,1797.0187590122223,1778.3376927375793;1787.6615869998932,1794.0128228664398,1778.5274307727814,1794.0102090835571,1778.4278216362;1787.6807315349579,1794.0119934082031,1778.4747869968414;1784.6914298534393,1794.011179447174
1818.7589588165283,1827.9971055984497,1809.5174069404602,1827.9964830875397,1806.2960748672485;1815.6734461784363,1824.9571197032928,1809.4865946769714;1818.7059664726257,1825.017918586731,1806.2960793972015;1815.6320209503174,1825.0161218643188,1806.4444561004639;1818.7096700668335,1825.0169064998627
1846.8454711437225,1856.117205619812,1837.5269176959991;1846.7757959365845,1853.1154775619507,1837.526920557022;1846.794830083847,1853.0646271705627,1837.6148052215576,1856.1169340610504,1837.4873988628387;1846.7462134361267,1853.1137390136719,1837.4298658370972;1843.7432086467743,1853.1147623062134
1874.7255275249481,1884.0243320465088,1862.4215483665466;1874.671044588089,1884.0176858901978,1865.3338623046875;1874.6564688682556,1883.9808900356293,1865.453780889511;1874.6749730110168,1881.0135276317596,1865.4391992092133;1871.657619714737,1884.023827791214,1865.5699501037598,1880.972942352295
1902.727364063263,1911.957418680191,1893.352240562439;1902.6758034229279,1909.0084011554718,1893.4460308551788;1902.675806760788,1911.9568326473236,1893.4785311222076,1909.0093185901642,1893.2720382213593;1899.6027064323425,1909.0101389884949,1893.3057386875153;1899.639575958252,1909.0073826313019
1930.8421487808228,1940.120454788208,1921.4206233024597;1930.7357833385468,1940.119879245758,1921.4206204414368;1930.7399032115936,1940.0567276477814,1921.5390157699585,1937.0721123218536,1921.2377989292145;1930.6868307590485,1937.1091492176056,1921.353375673294;1927.675838470459,1940.114487171173
1958.9114263057709,1965.1619999408722,1946.3903412818909;1955.654530763626,1965.1179423332214,1949.544090270996,1965.1613767147064,1949.5170998573303;1958.8619520664215,1965.11665558815,1949.5212490558624;1958.8487644195557,1965.1187708377838,1946.384567975998;1955.8271868228912,1965.155888080597
1983.892513036728,1990.1742403507233,1971.5474712848663;1983.8427863121033,1990.1732053756714,1974.5916092395782;1983.8427913188934,1990.1721544265747,1974.5685873031616;1983.8427894115448,1987.1708364486694,1974.463876247406;1983.7957322597504,1990.1740653514862,1974.6361212730408,1990.1714134216309
2011.8552763462067,2018.1691086292267,1999.5890684127808,2018.1658954620361,1999.5559809207916;2008.763956785202,2018.168964624405,1999.5310487747192;2011.8026506900787,2018.1668274402618,1999.4269802570343;2008.7135412693024,2015.1574974060059,1996.4941980838776;2008.763953924179,2018.1679775714874
2039.798686504364,2046.1669571399689,2030.4996869564056;2039.744692325592,2046.1566588878632,2030.5212819576263;2039.7326118946075,2046.0593783855438,2030.5562851428986,2046.1508965492249,2027.508863210678;2036.7660479545593,2046.161786556244,2024.4212765693665;2036.7395918369293,2046.1663708686829
2067.885240793228,2077.1808421611786,2055.487634897232;2064.816014289856,2077.171042442322,2055.499666452408;2067.783501625061,2077.1802203655243,2055.6152772903442;2064.861114025116,2074.125340938568,2055.6879782676697,2074.1096539497375,2055.648384332657;2061.8599672317505,2077.1758687496185
2095.9152252674103,2105.2108087539673,2083.5082087516785;2095.7816376686096,2102.2039744853973,2086.668534040451,2102.2057797908783,2086.5005915164948;2095.815448999405,2102.20485496521,2086.5365476608276;2095.865121126175,2105.2099311351776,2086.6387872695923;2095.8617029190063,2102.2032368183136
2127.211835861206,2136.495669364929,2114.902030467987;2124.190444946289,2133.4781579971313,2111.6458671092987;2127.15971159935,2136.495495557785,2115.0089144706726,2133.48784160614,2114.902027606964;2124.172892332077,2133.424834728241,2114.8318343162537;2121.1250092983246,2136.4943845272064
2158.1602070331573,2167.454849243164,2145.9003047943115;2155.139140367508,2164.3929641246796,2145.8026242256165;2158.0889189243317,2167.406803369522,2148.917370080948,2167.4496405124664,2148.8942420482635;2158.11048913002,2164.440605163574,2145.8770859241486;2155.111314058304,2167.4541897773743
2186.069118499756,2195.3718576431274,2176.797828435898;2186.0156683921814,2192.3623275756836,2176.7089927196503;2186.0192472934723,2195.3716785907745,2173.787796020508;2183.034321308136,2192.3630816936493,2176.8426921367645,2192.36519575119,2173.718374490738;2183.0002298355103,2192.364420890808
2214.1803340911865,2223.454387664795,2204.825620651245;2214.121071577072,2220.4489097595215,2204.9249818325043,2220.447189807892,2204.660785675049;2214.105968475342,2223.4537675380707,2204.7609379291534;2214.0665793418884,2220.448160171509,2204.8256175518036;2211.1172699928284,2220.3912823200226
