server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1680.424131155014,1704.712649345398,1650.008748292923;1662.1503715515137;1671.2937726974487,1695.6628804206848,1644.0791647434235;1656.302625656128;1668.4305200576782;1677.545001745224,1701.703114748001,1671.1346929073334,1704.7114295959473,1646.997488975525;1659.1142797470093;1668.2450425624847;1680.372060060501,1686.6309611797333,1644.0580849647522;1656.2262313365936;1665.3982214927673;1677.6634244918823,1686.6525740623474
1756.9033722877502,1778.1158986091614,1717.2043342590332;1732.4349746704102;1744.5511507987976;1756.7228438854218,1769.0964968204498,1717.2478911876678;1729.4539258480072;1744.654032945633;1756.826596736908,1766.0899183750153,1747.0993256568909,1778.1145694255829,1717.2997376918793;1729.4954907894135;1744.6847405433655;1756.8515000343323,1763.1252098083496,1717.1690480709076;1729.3236103057861;1747.518429517746,1766.1277952194214
1826.924795627594,1851.1510570049286,1790.46692943573;1805.6875660419464;1817.844378232956,1836.1930544376373,1790.3620128631592;1805.5454106330872;1814.6747584342957;1826.8600437641144,1839.198038816452,1817.4612662792206,1851.1498129367828,1790.3891756534576;1802.6037561893463;1814.7581231594086;1823.877701997757,1836.1940748691559,1790.5177013874054;1799.6632323265076;1811.811360836029;1820.9307842254639,1836.1360096931458
1894.121169090271,1918.326670408249,1863.579831123352;1875.8730363845825;1888.0320799350739,1903.373724937439,1863.557676076889;1875.694479227066;1887.9144384860992,1903.3093013763428,1887.602426290512,1918.3254897594452,1863.485394001007;1872.6650884151459;1884.917512178421;1894.0436866283417,1903.3781747817993,1860.5070567131042;1872.6367790699005;1881.904863357544;1894.0677652359009,1900.3657183647156
1961.1289615631104,1985.43461227417,1930.5952768325806;1942.800121307373;1957.9694554805756,1967.4152419567108,1930.5497994422913;1942.737228155136;1957.8892283439636,1973.4239778518677,1954.6574568748474,1985.4333980083466,1930.6734738349915;1939.812707901001;1951.9465110301971;1961.0755095481873,1970.36883020401,1930.7009012699127;1942.8571469783783;1954.9754514694214,1967.368477344513
2031.2576189041138,2052.474817276001,1997.647435426712;2012.8018162250519;2024.9223432540894,2037.455224275589,2000.7308883666992;2012.854166507721;2024.952479839325,2040.5090548992157,2021.6887619495392,2052.4735770225525,1997.7538561820984;2009.9646964073181;2022.0893502235413,2037.5022037029266,1997.7373235225677;2009.8763537406921;2019.0632410049438;2031.207454442978,2040.5111529827118
2092.2218499183655,2116.4031162261963,2064.907742500305;2077.028335571289;2092.113629102707,2098.448945045471,2064.7696504592896;2079.952661037445;2092.055396795273,2101.4523737430573,2085.883888244629,2116.401876926422,2064.8377079963684;2074.0215077400208;2086.1579031944275,2101.456934928894,2064.9269304275513;2074.084413766861;2086.187247276306,2098.383525133133
2162.176392555237,2186.4272730350494,2128.6653337478638;2140.7870581150055;2152.913789987564,2171.4048261642456,2125.659630060196;2137.8110942840576;2149.976775407791;2162.1119747161865,2171.4028928279877,2152.617192029953,2186.425999879837,2125.6846153736115;2137.8477597236633;2150.0009381771088;2159.12872505188,2171.3416407108307,2128.6191976070404;2137.7520501613617;2149.8881525993347;2159.029138326645,2171.3462064266205
2229.2964148521423,2250.5823290348053,2198.774434566498;2210.955590248108;2226.137451648712,2238.57897233963,2198.793073415756;2210.9809715747833;2223.130472421646,2238.569609642029,2222.7678241729736,2250.581106901169,2195.7336859703064;2207.8896675109863;2220.1085369586945;2229.2379574775696,2238.5614578723907,2195.716943025589;2207.9136300086975;2217.081009864807;2229.223545074463,2238.574371099472
2293.3331468105316,2314.508415699005,2262.781764268875;2278.0958776474;2290.2488384246826,2302.576756477356,2262.869677066803;2274.970128297806;2287.199426174164,2302.5904216766357,2283.922566175461,2314.5072116851807,2259.879716396332;2275.0150396823883;2287.1729085445404,2302.5703032016754,2259.8600680828094;2271.9785165786743;2281.1380863189697;2293.277989625931,2302.589401960373
2351.1905794143677,2375.4385323524475,2326.7989852428436;2338.9776017665863;2351.1386802196503,2357.4072349071503,2326.749132156372;2338.9562430381775;2351.1244571208954,2360.361575126648,2347.7720832824707,2375.437362909317,2323.756642103195;2335.9124641418457;2348.042838573456,2360.416387796402,2326.730453014374;2335.8591470718384;2348.0035116672516,2360.332727909088
