server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
391.90403294563293,398.20343351364136,382.707186460495;391.83976221084595,398.1820752620697,382.7392213344574,398.202898979187,382.6526257991791;391.8262939453125,398.1989531517029,379.6955544948578;388.9037141799927,398.18818163871765,379.6813545227051;388.87752747535706,398.1933333873749
416.95529961586,423.2395350933075,407.67522740364075;413.86892557144165,423.2370226383209,407.5492191314697;416.6989047527313,423.23444151878357,407.6442883014679;416.8773572444916,423.23187613487244,407.7796804904938,423.2392644882202,407.7183630466461;416.9033091068268,423.2294421195984
441.9553048610687,448.2701196670532,432.65342569351196;441.8346664905548,448.25226354599,432.5664310455322;441.7574589252472,448.25740122795105,432.74056220054626;441.90351963043213,448.2697262763977,432.68313670158386;441.87912607192993,448.26194643974304,432.79546880722046,448.2664887905121
466.8999705314636,476.1644492149353,457.705139875412;463.8767178058624,476.16428327560425,457.60282039642334;466.8264322280884,473.1568274497986,454.61246824264526;463.7841339111328,473.1560161113739,457.76050448417664,476.1633505821228,457.6371169090271;466.8495261669159,473.1548218727112
494.8035147190094,501.09933614730835,482.5304946899414;491.8322083950043,501.08051013946533,485.596843957901,501.0862100124359,485.5642066001892;494.74922943115234,501.09503865242004,485.51133251190186;491.70615696907043,501.09014773368835,482.4975347518921;491.71240973472595,501.09887313842773
519.7980992794037,529.0979294776917,510.390385389328;519.6041028499603,526.086487531662,510.5684666633606;519.7384510040283,526.0853865146637,510.46793389320374;519.7255561351776,529.0972728729248,510.62115001678467,529.0922906398773,510.50938081741333;516.6905362606049,529.093347787857
547.8813369274139,557.1583762168884,538.7214505672455,554.1491837501526,538.4892635345459;547.6913223266602,554.1473367214203,538.564295053482;547.7465562820435,557.1575887203217,538.6602334976196;547.8295590877533,557.089497089386,538.6032042503357;547.8048508167267,551.1470711231232
575.6766290664673,581.9562132358551,563.5955991744995;572.7805089950562,581.9558062553406,566.4937257766724;575.6222279071808,578.9395046234131,566.4182820320129;575.5884380340576,581.9513499736786,563.6133146286011;572.8156445026398,581.9459443092346,566.6008777618408,581.882913351059
600.7744352817535,610.0659909248352,591.3496294021606;600.5682315826416,610.0613775253296,591.4328849315643;600.640367269516,607.0476233959198,591.5396294593811;600.7222790718079,610.056135892868,591.6142868995667,610.0655491352081,591.4769632816315;600.7188715934753,607.0485985279083
628.681797504425,637.9872710704803,622.4494605064392,637.9871125221252,619.4690351486206;628.630003452301,634.9853079319,619.3858089447021;628.6150703430176,634.9880652427673,616.3881530761719;625.5801000595093,637.9857258796692,619.3153836727142;625.4850678443909,634.9869616031647
656.7497251033783,663.0096983909607,647.340665102005;656.6838328838348,663.0068128108978,644.2780065536499;653.6149864196777,663.0085473060608,647.4979526996613,663.0078189373016,647.4366762638092;656.687531709671,663.0095586776733,647.3165979385376;656.6838297843933,662.9696452617645
681.7091958522797,687.9649262428284,672.4210710525513;681.5926253795624,687.9638347625732,672.2959542274475;681.5407822132111,687.964777469635,672.4622356891632;681.6543583869934,687.9610142707825,672.568062543869,687.9444420337677,672.5232565402985;678.6929774284363,687.9623816013336
706.6513257026672,715.9223947525024,697.4131574630737;703.5501985549927,715.9162745475769,697.3378455638885;706.4663383960724,715.9218163490295,697.4714426994324,712.9078712463379,697.4356489181519;706.5971133708954,712.9090869426727,694.2530536651611;703.4488604068756,712.9068899154663
734.6403098106384,743.9080328941345,725.4614596366882,743.9074549674988,725.2925925254822;734.5518028736115,740.8996014595032,722.279557466507;731.4783449172974,740.9016356468201,725.4083096981049;734.587574005127,740.9006731510162,725.3766167163849;731.5436799526215,740.898767709732
765.5888752937317,774.9350094795227,753.3711609840393;765.5358364582062,774.9344515800476,753.2933084964752;762.4421198368073,774.9243471622467,750.2189660072327;759.3926448822021,774.929859161377,753.4165587425232,771.9157745838165,753.3174297809601;762.4982900619507,771.818498134613
